"Year","Artists"
"1945","6"
"1946","11"
"1947","5"
"1948","10"
"1949","5"
"1950","4"
"1951","5"
"1952","6"
"1953","5"
"1954","5"
"1955","5"
"1956","6"
"1957","5"
"1958","10"
"1959","8"
"1960","6"
"1961","8"
"1962","6"
"1963","8"
"1964","7"
"1965","6"
"1966","11"
"1967","5"
"1968","11"
"1969","10"
"1970","9"
"1971","12"
"1972","12"
"1973","17"
"1974","21"
"1975","17"
"1976","11"
"1977","7"
"1978","9"
"1979","11"
"1980","12"
"1981","11"
"1982","10"
"1983","6"
"1984","5"
"1985","13"
"1986","14"
"1987","8"
"1988","11"
"1989","15"
"1990","8"
"1991","14"
"1992","11"
"1993","16"
"1994","21"
"1995","19"
"1996","21"
"1997","26"
"1998","14"
"1999","23"
"2000","19"
"2001","24"
"2002","24"
"2003","33"
"2004","28"
"2005","32"
"2006","38"
"2007","35"
"2008","36"
"2009","36"
"2010","28"
"2011","30"
"2012","31"
"2013","42"
"2014","31"
"2015","36"
"2016","14"
