CityFormatted,Count,Percent,PercentFormatted
New York City,21,0.28,28
"Washington, D.C.",9,0.12,12
London,4,0.0533333333,5.33333333
"Austin, Texas",3,0.04,4
"Saint Petersburg, Fla.",3,0.04,4
Atlanta,2,0.0266666667,2.66666667
Berlin,2,0.0266666667,2.66666667
Chicago,2,0.0266666667,2.66666667
Dallas,2,0.0266666667,2.66666667
"Fort Lauderdale, Fla.",2,0.0266666667,2.66666667
"Iowa City, Iowa",2,0.0266666667,2.66666667
Los Angeles,2,0.0266666667,2.66666667
Seattle,2,0.0266666667,2.66666667
Other,19,0.2533333333,25.33333333
